dataset,original_name,mapping_name
Miryang,52.102_F_64kW.csv.csv,02_52.102_F_64kW.csv
Miryang,62.415_E_69kW.csv.csv,03_62.415_E_69kW.csv
Miryang,826.165_A_999kW.csv.csv,04_826.165_A_999kW.csv
Miryang,30.096_G_50kW.csv.csv,05_30.096_G_50kW.csv
Miryang,533.6_B_658kW.csv.csv,06_533.6_B_658kW.csv
Miryang,75.57_D_89kW.csv.csv,07_75.57_D_89kW.csv





